@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric

@data
1669,'2024/06/06 14:45:54:477',11,41,34,97,0.9
1670,'2024/06/06 14:45:54:499',11,36,35,98,0.9
1671,'2024/06/06 14:45:54:519',11,32,34,101,0.9
1672,'2024/06/06 14:45:54:542',11,32,34,101,0.9
1673,'2024/06/06 14:45:54:561',11,27,35,101,0.9
1674,'2024/06/06 14:45:54:584',11,24,36,96,0.9
1675,'2024/06/06 14:45:54:604',11,24,36,96,0.9
1676,'2024/06/06 14:45:54:628',11,21,38,95,0.9
1677,'2024/06/06 14:45:54:649',11,16,36,97,0.9
1678,'2024/06/06 14:45:54:672',11,16,36,97,0.9
1679,'2024/06/06 14:45:54:694',11,14,37,96,0.9
1680,'2024/06/06 14:45:54:717',11,14,37,96,0.9
1681,'2024/06/06 14:45:54:738',11,9,36,96,0.9
1682,'2024/06/06 14:45:54:764',11,9,37,92,0.9
1683,'2024/06/06 14:45:54:786',11,9,37,92,0.9
1684,'2024/06/06 14:45:54:810',11,8,38,90,0.9
1685,'2024/06/06 14:45:54:830',11,5,36,92,0.9
1686,'2024/06/06 14:45:56:591',12,47,136,94,0.9
1687,'2024/06/06 14:45:56:624',12,46,134,94,0.9
1688,'2024/06/06 14:45:56:657',12,48,134,92,0.9
1689,'2024/06/06 14:45:56:701',12,48,134,93,0.9
1690,'2024/06/06 14:45:56:740',12,48,133,93,0.9
1691,'2024/06/06 14:45:56:772',12,48,134,93,0.9
1692,'2024/06/06 14:45:56:795',12,47,132,95,0.9
1693,'2024/06/06 14:45:56:817',12,47,132,95,0.9
1694,'2024/06/06 14:45:56:843',12,48,134,94,0.9
1695,'2024/06/06 14:45:56:865',12,48,134,95,0.9
1696,'2024/06/06 14:45:56:887',12,49,135,94,0.9
1697,'2024/06/06 14:45:56:912',12,49,135,94,0.9
1698,'2024/06/06 14:45:56:932',12,50,135,94,0.9
1699,'2024/06/06 14:45:56:954',12,49,135,94,0.9
1700,'2024/06/06 14:45:56:976',12,50,134,95,0.9
1701,'2024/06/06 14:45:56:999',12,50,134,95,0.9
1702,'2024/06/06 14:45:57:023',12,51,134,94,0.9
1703,'2024/06/06 14:45:57:044',12,54,135,93,0.9
1704,'2024/06/06 14:45:57:067',12,54,135,93,0.9
1705,'2024/06/06 14:45:57:090',12,54,134,94,0.9
1706,'2024/06/06 14:45:57:114',12,54,134,94,0.9
1707,'2024/06/06 14:45:57:135',12,55,134,95,0.9
1708,'2024/06/06 14:45:57:157',12,56,134,95,0.9
1709,'2024/06/06 14:45:57:184',12,56,134,95,0.9
1710,'2024/06/06 14:45:57:208',12,57,134,95,0.9
1711,'2024/06/06 14:45:57:231',12,56,133,96,0.9
1712,'2024/06/06 14:45:57:254',12,56,133,96,0.9
1713,'2024/06/06 14:45:57:277',12,57,133,95,0.9
1714,'2024/06/06 14:45:57:299',12,56,134,94,0.9
1715,'2024/06/06 14:45:57:324',12,56,133,93,0.9
1716,'2024/06/06 14:45:57:347',12,56,133,93,0.9
1717,'2024/06/06 14:45:57:370',12,53,131,96,0.9
1718,'2024/06/06 14:45:57:390',12,53,132,95,0.9
1719,'2024/06/06 14:45:57:413',12,50,130,97,0.9
1720,'2024/06/06 14:45:57:435',12,50,130,97,0.9
1721,'2024/06/06 14:45:57:457',12,48,130,96,0.9
1722,'2024/06/06 14:45:57:482',12,45,129,98,0.9
1723,'2024/06/06 14:45:57:504',12,45,129,98,0.9
1724,'2024/06/06 14:45:57:526',12,43,129,96,0.9
1725,'2024/06/06 14:45:57:551',12,43,129,96,0.9
1726,'2024/06/06 14:45:57:572',12,40,128,98,0.9
1727,'2024/06/06 14:45:57:594',12,39,129,98,0.9
1728,'2024/06/06 14:45:57:618',12,38,132,93,0.9
1729,'2024/06/06 14:45:57:642',12,38,132,93,0.9
1730,'2024/06/06 14:45:57:663',12,33,130,98,0.9
1731,'2024/06/06 14:45:57:684',12,34,132,95,0.9
1732,'2024/06/06 14:45:57:705',12,34,132,95,0.9
1733,'2024/06/06 14:45:57:726',12,31,133,94,0.9
1734,'2024/06/06 14:45:57:748',12,31,133,94,0.9
1735,'2024/06/06 14:45:57:768',12,28,134,95,0.9
1736,'2024/06/06 14:45:57:793',12,29,137,92,0.9
1737,'2024/06/06 14:45:57:813',12,26,135,94,0.9
1738,'2024/06/06 14:45:57:835',12,26,135,94,0.9
1739,'2024/06/06 14:45:57:859',12,27,136,94,0.9
1740,'2024/06/06 14:45:57:879',12,26,136,95,0.9
1741,'2024/06/06 14:45:57:900',12,26,136,95,0.9
1742,'2024/06/06 14:45:57:923',12,25,136,95,0.9
1743,'2024/06/06 14:45:57:946',12,25,136,95,0.9
1744,'2024/06/06 14:45:57:966',12,26,137,94,0.9
1745,'2024/06/06 14:45:57:990',12,25,137,95,0.9
1746,'2024/06/06 14:45:58:013',12,25,137,95,0.9
1747,'2024/06/06 14:45:58:035',12,26,140,92,0.9
1748,'2024/06/06 14:45:59:805',13,61,72,79,0.9
1749,'2024/06/06 14:45:59:827',13,64,73,78,0.9
1750,'2024/06/06 14:45:59:850',13,64,72,80,0.9
1751,'2024/06/06 14:45:59:872',13,64,72,80,0.9
1752,'2024/06/06 14:45:59:893',13,65,72,81,0.9
1753,'2024/06/06 14:45:59:916',13,66,72,80,0.9
1754,'2024/06/06 14:45:59:937',13,66,72,80,0.9
1755,'2024/06/06 14:45:59:956',13,66,72,80,0.9
1756,'2024/06/06 14:45:59:975',13,69,73,78,0.9
1757,'2024/06/06 14:45:59:994',13,69,73,78,0.9
1758,'2024/06/06 14:46:00:014',13,69,73,78,0.9
1759,'2024/06/06 14:46:00:034',13,69,72,79,0.9
1760,'2024/06/06 14:46:00:053',13,71,73,77,0.9
1761,'2024/06/06 14:46:00:075',13,71,73,77,0.9
1762,'2024/06/06 14:46:00:095',13,70,72,80,0.9
1763,'2024/06/06 14:46:00:115',13,71,73,79,0.9
1764,'2024/06/06 14:46:00:135',13,71,73,79,0.9
1765,'2024/06/06 14:46:00:154',13,72,73,77,0.9
1766,'2024/06/06 14:46:00:173',13,72,73,77,0.9
1767,'2024/06/06 14:46:00:194',13,73,73,77,0.9
1768,'2024/06/06 14:46:00:215',13,73,72,77,0.9
1769,'2024/06/06 14:46:00:236',13,73,72,77,0.9
1770,'2024/06/06 14:46:00:256',13,74,72,76,0.9
1771,'2024/06/06 14:46:00:279',13,75,73,76,0.9
1772,'2024/06/06 14:46:00:299',13,75,73,76,0.9
1773,'2024/06/06 14:46:00:318',13,75,72,77,0.9
1774,'2024/06/06 14:46:00:339',13,75,72,77,0.9
1775,'2024/06/06 14:46:00:359',13,75,72,78,0.9
1776,'2024/06/06 14:46:00:380',13,74,70,79,0.9
1777,'2024/06/06 14:46:00:399',13,74,70,79,0.9
1778,'2024/06/06 14:46:00:422',13,76,71,77,0.9
1779,'2024/06/06 14:46:00:445',13,76,71,77,0.9
1780,'2024/06/06 14:46:00:465',13,75,70,79,0.9
